flight_time,flight_range,payload_capacity,wind_resistance,experience_level,price
90,150,3370,8,2,590
20,195,5580,19,3,29170
40,45,3780,16,4,8040
80,10,5530,16,4,14350
90,30,8550,19,3,25580
60,225,2550,20,2,13220
40,125,4740,28,3,29840
80,105,4430,11,3,4980
110,20,3960,14,2,1210
0,45,4850,19,2,15320
30,235,6410,6,4,1560
70,65,2400,13,3,15170
40,60,5750,21,1,28580
110,50,2990,22,3,18840
0,105,4320,30,1,3770
0,185,3220,5,1,9130
10,125,9990,12,3,5090
20,120,9200,6,2,15980
100,130,2340,14,1,10440
20,170,5250,18,2,23180
60,30,9050,26,2,16380
100,145,3830,28,3,10100
80,240,4970,14,1,19750
60,200,7750,19,2,5760
100,140,5510,18,2,3830
